city, state, county
Boston, MA, 25
Detroit, MI, 163
Los Angeles, CA, 37
New York City, NY, 61
New York City, NY, 47
New York City, NY, 81
New York City, NY, 5
Chicago, IL, 31
Atlanta, GA, 89
Atlanta, GA, 121
Philadelphia, PA, 101
Miami, FL, 86
Miami, FL, 99
Miami, FL, 11
Seattle, WA, 33
Houston, TX, 201
Houston, TX, 157
Houston, TX, 339
Phoenix, AZ, 13
San Diego, CA, 73
Austin, TX, 491
Austin, TX, 453
Austin, TX, 209
San Jose, CA, 85
Indianapolis, IN, 97
Denver, CO, 31
Memphis, TN, 157
Dallas, TX, 113
Dallas, TX, 85
Dallas, TX, 121
Dallas, TX, 397
Dallas, TX, 257
Newark, NJ, 13
Jersey City, NJ, 17
San Francisco, CA, 75
San Francisco, CA, 1
San Francisco, CA, 13
San Francisco, CA, 85
San Francisco, CA, 81
Providence, RI, 7
Washington DC, DC, 1
Baltimore, MD, 510
Pittsburgh, PA, 3
Richmond, VA, 760
St. Louis, MO, 510
