City,Area,Population,Density,HY,IXY,J
New York City,578.76,7804464,13484.77,1.44,0.61,0.66
Jersey City,128.05,636644,4971.79,1.35,0.41,0.6
Philadelphia,318.74,1535305,4816.75,1.27,0.58,0.68
Boston,154.87,738536,4768.78,1.35,0.49,0.72
Washington DC,161.96,595046,3674.12,1.16,0.45,0.44
Baltimore,216.39,632188,2921.56,0.98,0.43,0.61
Newark,337.96,803817,2378.42,1.31,0.58,0.56
Chicago,2513.25,5257668,2091.98,1.3,0.63,0.48
St. Louis,162.02,326377,2014.4,1.07,0.45,0.57
Denver,392.91,594806,1513.85,1.19,0.36,0.41
Richmond,155.68,207205,1330.97,1.11,0.42,0.51
Detroit,1633.64,1906119,1166.79,1.09,0.59,0.4
Los Angeles,9320.33,10062556,1079.64,1.31,0.44,0.4
Indianapolis,1035.41,913467,882.23,1.08,0.32,0.41
Atlanta,1912.78,1594143,833.42,1.18,0.52,0.4
San Francisco,8188.01,5976158,729.87,1.41,0.34,0.4
Pittsburgh,1924.35,1244542,646.73,0.72,0.27,0.37
Houston,8509.1,5001757,587.81,1.31,0.41,0.36
Miami,9829.64,5575807,567.24,1.22,0.47,0.29
Providence,1146.55,645828,563.28,1.05,0.34,0.48
San Jose,3227.12,1807128,559.98,1.34,0.29,0.38
Memphis,1742.75,936029,537.1,1.05,0.44,0.39
Dallas,8689.07,3950248,454.62,1.29,0.41,0.44
San Diego,10029.2,3147488,313.83,1.27,0.3,0.34
Seattle,6391.79,1963155,307.14,1.15,0.22,0.36
Austin,6513.15,1554353,238.65,1.14,0.26,0.26
Phoenix,19076.67,3844609,201.53,1.07,0.29,0.34
